Date,Type,Boisson,Degré d'alcool,Taille,Quantité,Alcool en grammes,Volume en litres
2025-01-25,🍺 Bière,Affligem,6.7,Pinte (50cl),1,26.8,0.5
2025-01-25,🍺 Bière,Blonde classique,4.5,Pinte (50cl),1,18.0,0.5
